Sr. No,Invoice #,Date [Account Name],Customer Name,PO#,Leg,Pick Up Address,Delivery Address,Time,Vehicle Service,Total Miles,Free Miles,Billable Miles,Out of Area - Misc Fee,Total 
,,,Invoice Generated On: Jul. 18 2019
,,,Invoice From: Jun. 01 2019 To: Jul. 18 2019
,,,Total Amount Billed: 1136.65
1,9549,Jun-05 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road-- Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,,108.10
 2,9726,Jun-10 2019[MTM],Bryan adam,1288 ,Leg A,1201 S. Alma School Rd.,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,,108.10
 3,9497,Jun-10 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road-- Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,,108.10
 4,9731,Jun-15 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 5,9731,Jun-15 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 6,9732,Jun-17 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 7,9732,Jun-17 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 8,9498,Jun-17 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road-- Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,,108.10
 9,9738,Jun-19 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 10,9738,Jun-19 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 11,9551,Jun-19 2019[MTM],Bryan adam,1288 ,Leg B,6416 South Central Avenue--Phoenix- AZ- USA,1201 South Alma School Road-- Mesa- AZ- USA,16:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.26,5,9.26,,107.60
 12,9748,Jun-21 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 13,9748,Jun-21 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 14,9733,Jun-24 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 15,9733,Jun-24 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 16,9739,Jun-26 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 17,9739,Jun-26 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 18,9749,Jun-28 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 19,9749,Jun-28 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 20,9734,Jul-01 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 21,9734,Jul-01 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 22,9740,Jul-03 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 23,9740,Jul-03 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 24,9750,Jul-05 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 25,9750,Jul-05 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 26,9729,Jul-06 2019[Logistic Care],Test, ,Leg B,296 North Carnegie Avenue--Claremont- CA- United States,11957 Bighorn Peak Court--Rancho Cucamonga- CA- United States,13:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,13.68,0,13.68,,73.40
 27,9729,Jul-06 2019[Logistic Care],Test, ,Leg A,11957 Bighorn Peak Court--Rancho Cucamonga- CA- United States,296 North Carnegie Avenue--Claremont- CA- United States,10:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,13.65,0,13.65,,73.25
 28,9735,Jul-08 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 29,9735,Jul-08 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 30,9741,Jul-10 2019[MTM],AMBER IRISH,1288 ,Leg A,45888888-,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,13:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
 31,9741,Jul-10 2019[MTM],AMBER IRISH,1288 ,Leg B,Muhammad Zeshan House number 16 Dawn baker dhama syedan-,-,11:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,0,5,0,2 Man Team Charges: 0  Oxygen. Charges: 0  ,15.00
