Sr. No,Invoice #,Date [Account Name],Customer Name,PO#,Leg,Pick Up Address,Delivery Address,Time,Vehicle Service,Total Miles,Free Miles,Billable Miles,Out of Area - Misc Fee,Total 
,,,Invoice Generated On: Feb. 22 2019
,,,Invoice From: Feb. 01 2019 To: Feb. 22 2019
,,,Total Amount Billed: 402.75
1,9184,Feb-06 2019[Logistic Care],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,14.31,0,14.31,,76.55
 2,9181,Feb-11 2019[Logistic Care],ASHLEY Test, ,Leg B,1201 South Chandler Village Drive--Chandler- AZ- USA,,13:30,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,0,0,0,Oxygen. Charges: 5  Wheel Chair Rental Charges: 5  ,15.00
 3,9189,Feb-11 2019[Logistic Care],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,14.31,0,14.31,,76.55
 4,9236,Feb-13 2019[Logistic Care],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,14.31,0,14.31,,76.55
 5,9241,Feb-14 2019[Logistic Care],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,14.31,0,14.31,Wheel Chair Rental Charges: 5  ,81.55
 6,9237,Feb-14 2019[Logistic Care],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,14.31,0,14.31,,76.55

