Sr. No,Invoice #,Date [Account Name],Customer Name,PO#,Leg,Pick Up Address,Delivery Address,Time,Vehicle Service,Total Miles,Free Miles,Billable Miles,Out of Area - Misc Fee,Total 
,,,Invoice Generated On: May. 17 2019
,,,Invoice From: Apr. 02 2019 To: May. 17 2019
,,,Total Amount Billed: 72202.86
1,9458,Apr-02 2019[MTM],Bryan adam,1288 ,Leg B,6416 South Central Avenue--Phoenix- AZ- USA,1201 South Alma School Road--Mesa- AZ- USA,15:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.26,5,9.26,Wheel Chair Rental Charges: 0  ,107.60
 2,9458,Apr-02 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,Wheel Chair Rental Charges: 0  ,108.10
 3,9465,Apr-09 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.31,5,9.31,Wheel Chair Rental Charges: 0  ,20.62
 4,9465,Apr-09 2019[MTM],Bryan adam,1288 ,Leg B,6416 South Central Avenue--Phoenix- AZ- USA,1201 South Alma School Road--Mesa- AZ- USA,15:30,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.26,5,9.26,Wheel Chair Rental Charges: 0  ,20.52
 5,9466,Apr-10 2019[MTM],Bryan adam,1288 ,Leg B,6416 South Central Avenue--Phoenix- AZ- USA,1201 South Alma School Road--Mesa- AZ- USA,15:30,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.26,5,9.26,Wheel Chair Rental Charges: 0  ,20.52
 6,9466,Apr-10 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.31,5,9.31,Wheel Chair Rental Charges: 0  ,20.62
 7,9468,Apr-10 2019[MTM],Bryan adam,1288 ,Leg B,6416 South Central Avenue--Phoenix- AZ- USA,1201 South Alma School Road-- Mesa- AZ- USA,15:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.26,5,9.26,Wheel Chair Rental Charges: 0  ,107.60
 8,9470,Apr-11 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.31,5,9.31,Wheel Chair Rental Charges: 0  ,20.62
 9,9609,Apr-12 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,15.16,5,10.16,,116.60
 10,9471,Apr-12 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,15.16,5,10.16,,22.32
 11,9617,Apr-13 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,15.16,5,10.16,,116.60
 12,9610,Apr-15 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,15.16,5,10.16,,116.60
 13,9473,Apr-16 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.31,5,9.31,,20.62
 14,9472,Apr-16 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road-- Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.31,5,9.31,Wheel Chair Rental Charges: 0  ,20.62
 15,9473,Apr-16 2019[MTM],Bryan adam,1288 ,Leg B,6416 South Central Avenue--Phoenix- AZ- USA,1201 South Alma School Road--Mesa- AZ- USA,15:30,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.26,5,9.26,,20.52
 16,9475,Apr-16 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road-- Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,,108.10
 17,9474,Apr-16 2019[Logistic Care],Test, ,Leg A,11957 Bighorn Peak Court--Rancho Cucamonga- CA- United States,296 North Carnegie Avenue--Claremont- CA- United States,10:00,Ambulatory - Pickup Charges: 5 - Price Per Miles: 5,13.65,0,13.65,,73.25
 18,9613,Apr-18 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,15.16,5,10.16,,116.60
 19,9476,Apr-18 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road-- Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,14.31,5,9.31,,108.10
 20,9618,Apr-20 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,15.16,5,10.16,,116.60
 21,9611,Apr-22 2019[MTM],A Test, ,Leg A,66 N 4000 E--RIGBY-ID-83442,2381 E SUNNYSIDE RD--IDAHO FALLS-ID-83404,08:30,Ambulatory - Pickup Charges: 15 - Price Per Miles: 10,15.16,5,10.16,,116.60
 22,9489,Apr-23 2019[],BLANCA Test, ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,1201 South Chandler Village Drive--Chandler- AZ- USA,15:00,Wheel Chair - Pickup Charges: 5 - Price Per Miles: 5,9.49,6,3.49,,22.45
 23,9486,Apr-23 2019[MTM],Bryan adam,1288 ,Leg A,1201 South Alma School Road--Mesa- AZ- USA,6416 South Central Avenue--Phoenix- AZ- USA,14:00,Ambulatory - Pickup Charges: 2 - Price Per Miles: 2,14.31,5,9.31,,20.62
